locationid,stateabbr,locationname,totalpopulation,High blood pressure,Current smoking,Diabetes,Physical inactivity,Obesity
39169,OH,Wayne,116510,37.1,16.3,12.9,27.3,37.5
39171,OH,Williams,36591,39.9,17.8,14.4,31.6,40.6
39173,OH,Wood,132650,33.1,12.7,10.7,22.9,37.4
39175,OH,Wyandot,21457,39.1,15.5,13.0,27.1,35.6
40001,OK,Adair,19627,44.0,25.8,17.5,40.8,46.2
40003,OK,Alfalfa,5673,42.7,17.9,13.5,31.7,40.6
40005,OK,Atoka,14525,42.7,21.3,14.6,34.7,40.3
40007,OK,Beaver,5018,41.3,15.3,13.9,33.9,38.4
40009,OK,Beckham,22042,40.9,20.0,13.3,35.0,40.0
40011,OK,Blaine,8539,43.1,17.6,14.3,33.2,38.3
40013,OK,Bryan,48967,40.3,19.0,13.4,34.1,40.0
40015,OK,Caddo,26214,41.6,21.5,14.9,37.4,40.2
40017,OK,Canadian,175829,35.6,13.4,10.4,26.8,39.0
40019,OK,Carter,48596,41.3,18.0,13.7,34.6,39.7
40021,OK,Cherokee,48185,40.6,18.9,14.3,31.6,42.9
40023,OK,Choctaw,14276,46.1,21.5,17.2,38.6,45.4
40025,OK,Cimarron,2191,41.9,13.0,13.7,31.7,37.6
40027,OK,Cleveland,301193,34.2,13.2,10.9,26.6,36.3
40029,OK,Coal,5266,45.5,23.1,17.2,39.2,42.6
40031,OK,Comanche,121574,37.5,17.6,12.8,33.1,43.0
40033,OK,Cotton,5427,44.2,19.3,15.4,35.0,43.1
40035,OK,Craig,14494,44.7,22.2,15.9,36.1,41.8
40037,OK,Creek,73332,39.5,18.4,13.4,31.3,39.8
40039,OK,Custer,28266,35.1,15.4,11.8,31.4,41.0
40041,OK,Delaware,41703,47.1,20.5,16.7,35.9,37.8
40043,OK,Dewey,4286,41.8,17.5,13.5,32.5,38.2
40045,OK,Ellis,3648,43.7,16.4,14.1,33.2,39.6
40047,OK,Garfield,62023,38.9,16.9,12.6,32.0,41.7
40049,OK,Garvin,25865,41.7,19.2,14.1,34.4,38.6
40051,OK,Grady,57375,39.3,16.3,12.0,29.3,38.4
40053,OK,Grant,4083,42.4,16.9,13.5,32.5,36.3
40055,OK,Greer,5466,40.8,17.9,13.0,33.1,42.1
40057,OK,Harmon,2392,44.7,17.8,17.0,39.3,42.4
40059,OK,Harper,3190,41.9,16.2,14.0,33.3,39.4
40061,OK,Haskell,11832,44.1,20.7,15.4,36.3,42.2
40063,OK,Hughes,13436,43.0,21.8,15.1,36.5,41.9
40065,OK,Jackson,24669,39.1,16.1,13.2,34.4,40.4
40067,OK,Jefferson,5347,45.6,20.9,16.3,38.3,41.2
40069,OK,Johnston,10216,42.3,21.0,15.3,36.9,39.4
40071,OK,Kay,43641,41.4,18.7,14.1,32.1,42.6
40073,OK,Kingfisher,15481,38.1,15.6,11.9,33.6,37.1
40075,OK,Kiowa,8398,45.4,19.9,16.6,36.4,42.7
40077,OK,Latimer,9526,45.1,22.4,17.0,37.9,42.3
40079,OK,Le Flore,49596,42.5,21.9,15.1,37.9,40.3
40081,OK,Lincoln,34562,43.3,18.9,14.1,33.3,44.1
40083,OK,Logan,53029,39.8,15.3,12.0,28.8,40.2
40085,OK,Love,10296,41.6,18.5,14.4,35.0,38.8
40087,OK,McClain,47072,38.8,15.4,11.3,28.6,38.5
40089,OK,McCurtain,30660,42.6,21.2,15.5,36.5,42.6
40091,OK,McIntosh,19603,49.1,21.8,17.7,39.8,44.8
40093,OK,Major,7581,40.8,16.9,13.3,33.9,41.9
40095,OK,Marshall,15970,43.9,18.7,15.7,37.3,39.4
40097,OK,Mayes,39889,43.2,20.3,14.6,34.9,41.8
40099,OK,Murray,13754,43.0,17.9,14.3,34.9,41.4
40101,OK,Muskogee,66677,42.6,20.7,15.2,35.8,41.5
40103,OK,Noble,10832,41.7,16.8,13.3,33.3,41.6
40105,OK,Nowata,9438,43.5,20.3,15.2,35.1,40.5
40107,OK,Okfuskee,11300,46.0,24.4,17.3,39.0,45.8
40109,OK,Oklahoma,808866,37.1,14.3,12.6,29.2,37.7
40111,OK,Okmulgee,37035,43.8,20.0,15.4,37.2,45.0
40113,OK,Osage,46130,45.6,17.9,14.4,31.9,46.4
40115,OK,Ottawa,30287,41.0,21.3,15.2,36.3,41.7
40117,OK,Pawnee,15864,42.1,19.3,14.3,33.3,39.7
40119,OK,Payne,83352,30.6,14.0,9.8,27.1,33.9
40121,OK,Pittsburg,43479,43.5,19.2,14.3,33.8,40.1
40123,OK,Pontotoc,38396,40.2,16.5,12.3,29.7,39.9
40125,OK,Pottawatomie,73791,40.9,18.1,13.0,32.2,41.2
40127,OK,Pushmataha,10800,46.9,23.6,17.7,39.6,39.1
40129,OK,Roger Mills,3295,43.8,17.4,14.6,33.5,40.3
40131,OK,Rogers,100248,37.8,15.7,12.4,28.5,40.1
40133,OK,Seminole,23565,44.4,22.5,16.1,37.9,45.0
40135,OK,Sequoyah,40291,44.7,22.8,16.6,37.4,47.1
40137,OK,Stephens,44014,43.7,18.6,14.2,34.3,39.1
40139,OK,Texas,20371,37.5,16.0,13.7,37.4,44.1
40141,OK,Tillman,6869,43.6,18.1,16.2,37.4,44.0
40143,OK,Tulsa,682868,35.6,14.7,11.7,30.8,35.7
40145,OK,Wagoner,89280,38.7,15.5,11.9,28.4,36.1
40147,OK,Washington,53706,39.6,16.9,13.2,30.9,42.4
40149,OK,Washita,10736,40.5,17.5,13.4,32.5,39.5
40151,OK,Woods,8564,36.1,14.7,11.1,29.1,36.6
40153,OK,Woodward,19947,39.5,16.9,12.1,30.7,41.5
41001,OR,Baker,16912,38.7,13.8,13.6,21.3,37.7
41003,OR,Benton,97713,27.4,9.6,9.3,16.2,25.9
41005,OR,Clackamas,423173,32.1,10.5,10.5,19.7,34.0
41007,OR,Clatsop,41102,37.1,13.2,12.6,21.5,34.8
41009,OR,Columbia,53880,34.9,14.3,12.1,22.1,33.5
41011,OR,Coos,64212,40.7,15.2,14.2,24.1,34.1
41013,OR,Crook,26952,37.7,13.0,12.5,21.2,36.1
41015,OR,Curry,23296,43.6,13.4,15.7,23.8,38.4
41017,OR,Deschutes,208513,33.0,10.6,10.2,16.6,27.2
41019,OR,Douglas,112435,39.4,14.5,14.3,25.8,37.6
41021,OR,Gilliam,2026,41.1,14.8,14.8,25.5,35.4
41023,OR,Grant,7215,41.0,14.4,14.6,24.7,33.6
